NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
SENHOR TOMA MINHA VIDA NUEVA;302;;OFERTÓRIO;
SENHOR TOMA MINHA VIDA NUEVA;302;;ADORAÇÃO;
SENHOR TOMA MINHA VIDA NUEVA;302;;MISSÃO;G
SENHOR TOMA MINHA VIDA NUEVA;302;;;
HOY ME SIENTO FELIZ;303;;;
EXULTAI EM DEUS (ESULTATE IN DIO);304;;FINAL;
ESULTATE IN DIO;304;;AGRADECIMENTO;
EXULTAI EM DEUS;304;;;
LOAD AL SEÑOR (SL 117 );305;;SALMO;
LOAD AL SEÑOR (SL 117 );305;;LOUVOR;
LOAD AL SEÑOR (SL 117 );305;;AGRADECIMENTO;
LOAD AL SEÑOR (SL 117 );305;;REFRÕES;
LOAD AL SEÑOR (SL 117 );305;;;
RENDEI A YAHWEH;306;;FINAL;
RENDEI A YAHWEH;306;;LOUVOR;
RENDEI A YAHWEH;306;;;
SEI QUE O SEU CORACÃO;307;;AÇÃO DE GRAÇAS;
SEI QUE O SEU CORACÃO;307;;;
ES MI NOVIA LA ESPERANZA;308;;;
COME TU SEI IN ME;309;;TRINDADE;E
COME TU SEI IN ME;309;;;
NZAMBE EE YAMBA;310;;OFERTÓRIO;
NZAMBE EE YAMBA;310;;;
BWANA BWANA;311;;PERDÃO;
BWANA BWANA;311;;;
DIGNO DE LOUVOR;312;;ADORAÇÃO;
DIGNO DE LOUVOR;312;;LOUVOR ADORAÇÃO;
DIGNO DE LOUVOR;312;;;
SI EN TU INTERIOR PERCIBES;313;;ADORAÇÃO;
SI EN TU INTERIOR PERCIBES;313;;MISSÃO;G
SI EN TU INTERIOR PERCIBES;313;;;
TE OFRECEMOS ESTE NUEVO DÍA;314;;OFERTÓRIO;
TE OFRECEMOS ESTE NUEVO DÍA;314;;;
VICTOIRE ALLELUIA;315;;;
ABENÇOA SENHOR (toda a nossa vida);316;;PARA BÊNÇÃO;
ABENÇOA SENHOR (toda a nossa vida);316;;;
SI TU VEUX LA PAX;317;;;
ELE VEIO PRA NOS DAR (A ELE A GLÓRIA);318;;ADORAÇÃO;
ELE VEIO PRA NOS DAR A SALVAÇÃO;318;;;
SOIS LA SEMILLA (Id, amigos);319;;MISSÃO;D
REGINA CAELI;319;;;
EU TE LOUVAREI (de todo o coração);320;;ADORAÇÃO;
